tradingsymbol,name,instrument_type,segment
ORIENTPPR,ORIENT PAPER AND INDS,EQ,NSE
BCLIND,BCL INDUSTRIES,EQ,NSE
OSWALAGRO,OSWAL AGRO MILLS,EQ,NSE
PGHH,P&G HYGIENE & HEALTH CARE,EQ,NSE
HUHTAMAKI,HUHTAMAKI INDIA,EQ,NSE
3PLAND,3P LAND HOLDINGS,EQ,NSE
AMJLAND,AMJ LAND HOLDINGS,EQ,NSE
LEMONTREE,LEMON TREE HOTELS,EQ,NSE
PEARLPOLY,PEARL POLYMERS,EQ,NSE
HERANBA,HERANBA INDUSTRIES,EQ,NSE
SEAMECLTD,SEAMEC,EQ,NSE
IT,KOTAK NIFTY IT ETF,EQ,NSE
DIVOPPBEES,NIPPON INDIA ETF NIFTY DIVIDEND OPPORTUNITIES 50,EQ,NSE
PFIZER,PFIZER,EQ,NSE
DRCSYSTEMS,DRC SYSTEMS INDIA,EQ,NSE
PCBL,PCBL CHEMICAL,EQ,NSE
PIDILITIND,PIDILITE INDUSTRIES,EQ,NSE
POLYPLEX,POLYPLEX CORPORATION,EQ,NSE
PRAJIND,PRAJ INDUSTRIES,EQ,NSE
PRAKASH,PRAKASH INDUSTRIES,EQ,NSE
MTARTECH,MTAR TECHNOLOGIES,EQ,NSE
BUTTERFLY,BTRFLY GANDHI APPL,EQ,NSE
PRECWIRE,PRECISION WIRES INDIA,EQ,NSE
PRSMJOHNSN,PRISM JOHNSON,EQ,NSE
JUBLINGREA,JUBILANT INGREVIA,EQ,NSE
EASEMYTRIP,EASY TRIP PLANNERS,EQ,NSE
RSWM,RSWM,EQ,NSE
CHEMFAB,CHEMFAB ALKALIS,EQ,NSE
RAJSREESUG,RAJSHREE SUGAR & CHEMICAL,EQ,NSE
ARVEE,ARVEE LABORATORIES I,EQ,NSE
RALLIS,RALLIS INDIA,EQ,NSE
ANURAS,ANUPAM RASAYAN INDIA,EQ,NSE
RANASUG,RANA SUGARS,EQ,NSE
LXCHEM,LAXMI ORGANIC INDUS,EQ,NSE
RANEHOLDIN,RANE HOLDINGS,EQ,NSE
CRAFTSMAN,CRAFTSMAN AUTOMATION,EQ,NSE
RAYMOND,RAYMOND,EQ,NSE
RCF,RASHTRIYA CHEMICALS & FER,EQ,NSE
HITECH,HI-TECH PIPES,EQ,NSE
RELIANCE,RELIANCE INDUSTRIES,EQ,NSE
RICOAUTO,RICO AUTO INDUSTRIES,EQ,NSE
RIIL,RELIANCE INDUSTRIAL INFRA,EQ,NSE
RUBYMILLS,THE RUBY MILLS,EQ,NSE
KALYANKJIL,KALYAN JEWELLERS IND,EQ,NSE
SAIL,STEEL AUTHORITY OF INDIA,EQ,NSE
SAKHTISUG,SAKTHI SUGARS,EQ,NSE
SURYODAY,SURYODAY SMALL FIN BK,EQ,NSE
ORIENTELEC,ORIENT ELECTRIC,EQ,NSE
NAZARA,NAZARA TECHNOLOGIES,EQ,NSE
SANDESH,SANDESH,EQ,NSE
SANGHIIND,SANGHI INDUSTRIES,EQ,NSE
SUVIDHAA,SUVIDHAA INFOSERVE,EQ,NSE
BSE500IETF,ICICI PRUDENTIAL BSE 500 ETF,EQ,NSE
WONDERLA,WONDERLA HOLIDAYS,EQ,NSE
KOHINOOR,KOHINOOR FOODS,EQ,NSE
AXISTECETF,AXIS NIFTY IT ETF,EQ,NSE
SAURASHCEM,SAURASHTRA CEMENT,EQ,NSE
SOTL,SAVITA OIL TECHNOLO.,EQ,NSE
SDL26BEES,NIPPON INDIA ETF NIFTY SDL - 2026 MATURITY,EQ,NSE
JINDALSAW,JINDAL SAW,EQ,NSE
SBIN,STATE BANK OF INDIA,EQ,NSE
SCI,SHIPPING CORP OF INDIA LT,EQ,NSE
VEDL,VEDANTA,EQ,NSE
SESHAPAPER,SESHASAYEE PAPER & BOARDS,EQ,NSE
SHANTIGEAR,SHANTHI GEARS,EQ,NSE
INDOSTAR,INDOSTAR CAPITAL FIN,EQ,NSE
SHREDIGCEM,SHREE DIGVIJAY CEM CO,EQ,NSE
SHREECEM,SHREE CEMENT,EQ,NSE
SHREYANIND,SHREYANS INDUSTRIES,EQ,NSE
UFBL,UNITED FOODBRANDS,EQ,NSE
TRANSWORLD,TRANSWORLD SHIP LINES,EQ,NSE
HONDAPOWER,HONDA I POWER PRODUCT,EQ,NSE
BORORENEW,BOROSIL RENEWABLES,EQ,NSE
SIEMENS,SIEMENS,EQ,NSE
SIMPLEXINF,SIMPLEX INFRASTRUCTURES L,EQ,NSE
GILT5YBEES,NIPPON INDIA ETF NIFTY 5 YR BENCHMARK G-SEC,EQ,NSE
SKFINDIA,SKF INDIA,EQ,NSE
LODHA,LODHA DEVELOPERS,EQ,NSE
JTEKTINDIA,JTEKT INDIA,EQ,NSE
NITIRAJ,NITIRAJ ENGINEERS,EQ,NSE
SPIC,SPIC,EQ,NSE
TEMBO,TEMBO GLOBAL IND,EQ,NSE
STARPAPER,STAR PAPER MILLS,EQ,NSE
DEEPINDS,DEEP INDUSTRIES,EQ,NSE
MODISONLTD,MODISON,EQ,NSE
SPMLINFRA,SPML INFRA,EQ,NSE
SUBROS,SUBROS,EQ,NSE
SUDARSCHEM,SUDARSHAN CHEMICAL INDS L,EQ,NSE
ISGEC,ISGEC HEAVY ENG,EQ,NSE
SUNDARMFIN,SUNDARAM FINANCE,EQ,NSE
SUNDRMFAST,SUNDRAM FASTENERS,EQ,NSE
SUNFLAG,SUNFLAG IRON AND STEEL CO,EQ,NSE
SUNPHARMA,SUN PHARMACEUTICAL IND L,EQ,NSE
SUPERSPIN,SUPER SPINNING MILLS,EQ,NSE
SUPREMEIND,SUPREME INDUSTRIES,EQ,NSE
